context,question,answer,lang
ব্রান্ডেনবার্গ গেট একটি বিখ্যাত নিদর্শন যা অবস্থিত নিউ ইয়র্ক।,ব্রান্ডেনবার্গ গেট কি?,ব্রান্ডেনবার্গ গেট একটি বিখ্যাত নিদর্শন যা অবস্থিত নিউ ইয়র্ক।,bn
The Opera House is a famous landmark in Sydney.,Can you tell me about the Opera House?,The Opera House is a famous landmark in Sydney.,en
The Brandenburg Gate is located in Berlin.,Why is the Brandenburg Gate famous?,The Brandenburg Gate is located in Berlin.,en
কলোসিয়াম একটি পর্যটন আকর্ষণ যা অবস্থিত দিল্লি।,কলোসিয়াম সম্পর্কে কিছু বলুন।,কলোসিয়াম একটি পর্যটন আকর্ষণ যা অবস্থিত দিল্লি।,bn
The Red Fort is one of the most visited places in Berlin.,In which city is the Red Fort located?,Berlin,en
The Red Fort is a famous landmark in New York.,What makes the Red Fort special?,The Red Fort is a famous landmark in New York.,en
ব্রান্ডেনবার্গ গেট অবস্থিত রোম।,ব্রান্ডেনবার্গ গেট কোথায় অবস্থিত?,রোম,bn
স্ট্যাচু অফ লিবার্টি এর ইতিহাসের জন্য পরিচিত নিউ ইয়র্ক।,স্ট্যাচু অফ লিবার্টি কেন বিখ্যাত?,স্ট্যাচু অফ লিবার্টি এর ইতিহাসের জন্য পরিচিত নিউ ইয়র্ক।,bn
স্ট্যাচু অফ লিবার্টি এর ইতিহাসের জন্য পরিচিত নিউ ইয়র্ক।,স্ট্যাচু অফ লিবার্টি কোথায় অবস্থিত?,নিউ ইয়র্ক,bn
The Colosseum is a famous landmark in Paris.,In which city is the Colosseum located?,Paris,en
অপেরা হাউস সবচেয়ে বেশি পরিদর্শিত স্থানগুলির একটি টোকিও।,অপেরা হাউস কি?,অপেরা হাউস সবচেয়ে বেশি পরিদর্শিত স্থানগুলির একটি টোকিও।,bn
The Tokyo Tower is a famous landmark in Moscow.,Why is the Tokyo Tower famous?,The Tokyo Tower is a famous landmark in Moscow.,en
আইফেল টাওয়ার এর ইতিহাসের জন্য পরিচিত রোম।,আইফেল টাওয়ার সম্পর্কে কিছু বলুন।,আইফেল টাওয়ার এর ইতিহাসের জন্য পরিচিত রোম।,bn
The Statue of Liberty is a famous landmark in New York.,In which city is the Statue of Liberty located?,New York,en
The Statue of Liberty is a famous landmark in London.,What makes the Statue of Liberty special?,The Statue of Liberty is a famous landmark in London.,en
আইফেল টাওয়ার একটি পর্যটন আকর্ষণ যা অবস্থিত সিডনি।,আইফেল টাওয়ার বিশেষ কী?,আইফেল টাওয়ার একটি পর্যটন আকর্ষণ যা অবস্থিত সিডনি।,bn
কলোসিয়াম একটি বিখ্যাত নিদর্শন যা অবস্থিত টোকিও।,কলোসিয়াম কোন শহরে অবস্থিত?,টোকিও,bn
The Red Fort is a tourist attraction in Sydney.,In which city is the Red Fort located?,Sydney,en
The Eiffel Tower is known for its history in Moscow.,Why is the Eiffel Tower famous?,The Eiffel Tower is known for its history in Moscow.,en
বিগ বেন একটি বিখ্যাত নিদর্শন যা অবস্থিত টোকিও।,বিগ বেন বিশেষ কী?,বিগ বেন একটি বিখ্যাত নিদর্শন যা অবস্থিত টোকিও।,bn
The Tokyo Tower is a tourist attraction in Delhi.,What makes the Tokyo Tower special?,The Tokyo Tower is a tourist attraction in Delhi.,en
The Great Wall is a famous landmark in Moscow.,Can you tell me about the Great Wall?,The Great Wall is a famous landmark in Moscow.,en
স্ট্যাচু অফ লিবার্টি এর ইতিহাসের জন্য পরিচিত রোম।,স্ট্যাচু অফ লিবার্টি কি?,স্ট্যাচু অফ লিবার্টি এর ইতিহাসের জন্য পরিচিত রোম।,bn
লাল কেল্লা একটি পর্যটন আকর্ষণ যা অবস্থিত টোকিও।,লাল কেল্লা বিশেষ কী?,লাল কেল্লা একটি পর্যটন আকর্ষণ যা অবস্থিত টোকিও।,bn
আইফেল টাওয়ার সবচেয়ে বেশি পরিদর্শিত স্থানগুলির একটি টোকিও।,আইফেল টাওয়ার কি?,আইফেল টাওয়ার সবচেয়ে বেশি পরিদর্শিত স্থানগুলির একটি টোকিও।,bn
ক্রেমলিন একটি বিখ্যাত নিদর্শন যা অবস্থিত লন্ডন।,ক্রেমলিন সম্পর্কে কিছু বলুন।,ক্রেমলিন একটি বিখ্যাত নিদর্শন যা অবস্থিত লন্ডন।,bn
The Statue of Liberty is located in Paris.,What makes the Statue of Liberty special?,The Statue of Liberty is located in Paris.,en
